comment_id,user_id,user_name,text,created_at,like_count,reply_count,location,comment_time
5.05063E+15,7824074597,这就是派DAY,祝演唱会圆满成功,Sat Jun 29 15:59:43 +0800 2024,13879,9042,北京,2024-6-29 15:59
5.05063E+15,5856589965,CyniIcAl_,下次好好审核行不行啊既然要开演唱会就要持着严谨认真负责的态度还有妆造给我搞好一点,Sat Jun 29 15:37:50 +0800 2024,16679,132,云南,2024-6-29 15:37
5.05063E+15,7265277184,橙橙很哇塞RUI,车撞墙了知道拐了，大鼻涕流嘴里了知道甩了,Sat Jun 29 15:38:14 +0800 2024,15272,159,安徽,2024-6-29 15:38
5.05063E+15,5317895182,月野兔唔,道歉是你应该的，鹿晗三巡演唱会的每一帧每一秒每个舞台动作都是他对于粉丝的心和对舞台的认真，不是被别人随意照搬的模版，尊重别人，也请尊重粉丝,Sat Jun 29 15:39:27 +0800 2024,18434,756,辽宁,2024-6-29 15:39
5.05063E+15,3563717322,勇哥的光芒V,所以是承认了？演唱会是粉丝的独家记忆，抄袭他人的演唱会开场是对自己对他人对他人粉丝的极不尊重。鹿晗三巡是他本人多次出国，请国外专业的团队用心打造的，是他的心血和努力。希望贵司知错就改，严格把关，不要再出现类似的错误了！,Sat Jun 29 16:03:06 +0800 2024,14065,321,上海,2024-6-29 16:03
5.05063E+15,7827656852,有酒有菜有爱的禾伙人,我请问 哥几个被骂你们有想过他们的名誉吗,Sat Jun 29 15:39:39 +0800 2024,8144,230,陕西,2024-6-29 15:39
5.05063E+15,7490584674,好好活着是一种状态,❶认识错误承认错误也要立马改正，今晚不许再出现这个片头了 ❷中控弄好的，安保严一点，昨天还是有灯牌 ❸工作人员上点心，升降台都弄不好就别干了,Sat Jun 29 15:39:06 +0800 2024,8100,46,湖南,2024-6-29 15:39
5.05063E+15,5817169320,许时京,你知不知道这是第一场演唱会啊,Sat Jun 29 15:39:18 +0800 2024,8352,90,浙江,2024-6-29 15:39
5.05064E+15,6450116925,ccc小章鱼,给带来不便以及不开心的鹿晗老师、芦苇们道歉  （禾伙人） @M鹿M @鹿晗工作室 真的很抱歉,Sat Jun 29 16:34:38 +0800 2024,6924,39,福建,2024-6-29 16:34
5.05067E+15,7312969127,小yu有肉饼,首先，第一时间进行了调查处理，并且公开致歉和处理结果公示，是值得肯定的。至少及时承认错误，就有改正的机会。其次，加强以后的审核工作，避免事故的发生及对十个勤天的影响，包括演唱会及其他产品。(在子公司成立直播，听到鸽们回应了，相信很快就有改进了)最后，十个勤天，做大做强,Sat Jun 29 18:35:13 +0800 2024,6977,84,福建,2024-6-29 18:35
5.05063E+15,6193744843,Ni古拉豆沙鹿_,评论区演够了没 别甩锅了 骂鹿晗半天了能不能立正向鹿晗道歉啊,Sat Jun 29 15:46:50 +0800 2024,8930,805,河南,2024-6-29 15:46
5.05063E+15,7803172240,鹿晗的小酥肉yo7,抄袭就是抄袭 还参考 好话都让你说了,Sat Jun 29 15:41:40 +0800 2024,7460,200,山西,2024-6-29 15:41
5.05063E+15,7670299273,猫猫头薯崽大大王,外包出去是不审核的 工作是不认真的 钱是你们要赚的 票是给黄牛的 挨骂的只有十个勤天 能不能靠点谱啊 公关是不专业的 澄清也是拖后腿的,Sat Jun 29 15:40:01 +0800 2024,3361,56,河北,2024-6-29 15:40
5.05063E+15,1973516367,小易许愿幸运,好好审核！希望今天的片头虽然很赶但不要敷衍！希望演唱会顺利！,Sat Jun 29 15:38:16 +0800 2024,1988,8,浙江,2024-6-29 15:38
5.05063E+15,1916195827,我是judy阿,下次不要再出现这种情况了！请一定一定保护好他们来之不易的现在！,Sat Jun 29 15:37:59 +0800 2024,2630,17,浙江,2024-6-29 15:37
5.05063E+15,7324519273,小兔子的糖果屋008,黄牛黄牛不管，灯牌灯牌不管，审核审核不严，你还能干什么,Sat Jun 29 15:39:50 +0800 2024,2381,58,山东,2024-6-29 15:39
5.05063E+15,3914399124,洛九辞,昨天倒闭没白叫，背刺十个勤天第一名☝️,Sat Jun 29 15:38:00 +0800 2024,2165,31,江苏,2024-6-29 15:38
5.05063E+15,6605814738,小欧不迷糊-o-,所以能不能单独给鹿晗道个歉 被你们抄袭还要被你们骂。其次 结下版权费呗 用都用了不会就想发个声明草草了事吧,Sat Jun 29 15:58:09 +0800 2024,3244,67,北京,2024-6-29 15:58
5.05063E+15,7691890042,叫汗什么堡堡啊,成事不足败事有余，以后好好审核，别给哥几个添乱了。,Sat Jun 29 15:38:12 +0800 2024,1425,3,浙江,2024-6-29 15:38
5.05063E+15,5417630966,铠甲水水,他们十个替你们背一上午黑锅了，你们以后能不能专业一点，好好审查？别给他们辛辛苦苦准备的演唱会拖后腿,Sat Jun 29 15:40:07 +0800 2024,1812,75,山东,2024-6-29 15:40
5.05063E+15,5769346614,晗安_Asaki,鹿晗多次往返国内外谈合作一步步走下来花了那么多时间精力的作品你们一句“参考”就完事了，废话少说快给鹿晗写道歉信盖公章赔版权费,Sat Jun 29 15:52:28 +0800 2024,2778,61,广西,2024-6-29 15:52
5.05063E+15,6478186084,熊猫鱼-,下次注意点，要认真对待啊,Sat Jun 29 15:37:53 +0800 2024,815,2,山东,2024-6-29 15:37
5.05063E+15,7876985756,焦糖奶味芋泥卷,不只是向我们禾伙人道歉 麻烦也请向所有鹿饭所有芦苇道歉！！！！！！向十个勤天道歉！！！！这是你们主办方的错！！！！！！我们不买单！！！！！,Sat Jun 29 15:44:42 +0800 2024,1317,53,广东,2024-6-29 15:44
5.05063E+15,7375923714,冷七不怕冷,虽然但是还是m你一下，你们的失误又让十个勤天背了球球你了下次用点心,Sat Jun 29 15:38:25 +0800 2024,993,4,安徽,2024-6-29 15:38
5.05063E+15,7479031621,Yeerakten小孙,讽不讽刺啊！十个孩子第一场演唱会你搞抄袭！十个孩子被骂一上午你隐身！这就是你主办方干的事？！,Sat Jun 29 15:41:36 +0800 2024,1457,7,江苏,2024-6-29 15:41
5.05063E+15,6594846027,重度猫瘾,草台班子 给我认真做事！别给哥几个找麻烦！,Sat Jun 29 15:38:15 +0800 2024,1108,4,湖北,2024-6-29 15:38
5.05063E+15,7764521252,不爱吃饭小椰子,给鹿晗道歉！！！！！,Sat Jun 29 15:55:25 +0800 2024,1529,31,上海,2024-6-29 15:55
5.05063E+15,7441656711,_噗噗本噗pu,你修改了啥?,Sat Jun 29 15:38:01 +0800 2024,1144,319,山东,2024-6-29 15:38
5.05063E+15,5237789450,周a惠雯,长点心 十个勤天被骂一天了 能干干 不能干换能干的干,Sat Jun 29 15:38:09 +0800 2024,806,71,浙江,2024-6-29 15:38
5.05065E+15,6543212599,莫拉娱乐MOLA_OFFICIAL,再次真诚向鹿晗先生本人道歉，向十个勤天道歉，向所有被受到影响的人和各方道歉，对不起！我们会对所有大家指出的问题一并整改并追责相关责任人，也愿意承担相应责任。,Sat Jun 29 17:06:01 +0800 2024,675,189,浙江,2024-6-29 17:06
5.05063E+15,7798167806,不高兴也会有烦恼,你该道歉的是十个勤天，是芦苇姐姐们，是鹿晗整个工作室的，能不能好好干，审核这么不严谨，你瞅你办的事，别人的命也是命，有没有点意识呢我请问？@种下一个未来2024,Sat Jun 29 15:48:14 +0800 2024,847,23,上海,2024-6-29 15:48
5.05063E+15,7764521252,不爱吃饭小椰子,把人家的版权费付给人家！！！,Sat Jun 29 16:04:07 +0800 2024,626,16,上海,2024-6-29 16:04
5.05063E+15,5071019551,有幸见过温柔本身,用点心吧！！,Sat Jun 29 15:37:59 +0800 2024,395,1,广东,2024-6-29 15:37
5.05063E+15,6201609858,爱嗑cp不是我的错,能干好吗你们？？不能干别干了,Sat Jun 29 15:38:10 +0800 2024,444,2,重庆,2024-6-29 15:38
5.05063E+15,5471492984,让我睡饱觉,一切的东西都好好审核！！！！认真对待  没人一直原谅你们  口碑才是最重要的！！！,Sat Jun 29 15:38:19 +0800 2024,375,1,江苏,2024-6-29 15:38
5.05063E+15,5536625284,唐三又开挂了,神金团队,Sat Jun 29 15:42:18 +0800 2024,345,2,广东,2024-6-29 15:42
5.05063E+15,5471492984,让我睡饱觉,没人一直原谅你  认真对待好吗,Sat Jun 29 15:38:59 +0800 2024,369,1,江苏,2024-6-29 15:38
5.05063E+15,7066213677,让我拿下何浩楠怎么了,我不想多看你一个字不用给禾伙人道歉，给十勤道歉吧，多道点，他们辛辛苦苦排练不是让你来拖后腿的你真是，超绝拖后腿选手,Sat Jun 29 15:40:56 +0800 2024,245,14,江苏,2024-6-29 15:40
5.05063E+15,5034441310,LTLTLost,你就憋了这个屁？他们十个被骂了一上午 钱你赚了 能不能上点心呢我请问？,Sat Jun 29 15:40:22 +0800 2024,290,2,广东,2024-6-29 15:40
5.05063E+15,2214719347,莱恩拉比,真tm服了 好了该解决下一个问题了，灯牌你打算怎么办,Sat Jun 29 15:41:41 +0800 2024,186,20,山东,2024-6-29 15:41
5.05063E+15,5641118005,没事多喝水_西柚,提前做好备案检查！这次声明出的有点慢了但是进步了！未来真的对他们再上点心吧！努力一起更好吧,Sat Jun 29 15:38:37 +0800 2024,201,6,上海,2024-6-29 15:38
5.05063E+15,6530349935,谦迷勤乐手,事情发生第一时间为什么不回应，抄了为什么这么久才说，鸽几个好不容易走出来的花路和鹿哥精心为lwjj准备的三巡就因为这种可耻的行为让双方都伤心，希望不要再有此类情况发生了,Sat Jun 29 15:41:15 +0800 2024,380,3,广西,2024-6-29 15:41
5.0507E+15,5117689321,曦曦的嘻嘻曦,经济公司干不了别干了，每次外包公司都出问题，考虑过鸽们风评吗，直播也出问题，专场也背刺，演唱会也整这一出，谁不知道这场对我们对他们有多重要，我真的服了，下一次还要怎么搞，还想不想鸽们在内娱混了，一定要把他们搞垮了才开心吗,Sat Jun 29 20:39:32 +0800 2024,320,4,江西,2024-6-29 20:39
5.05071E+15,6249247643,小鹿团子xltz,抄了鹿晗不道歉还抱歉你挺牛啊,Sat Jun 29 21:27:48 +0800 2024,417,0,湖北,2024-6-29 21:27
